CountryID,region_id,country_name,Income_id
CHN,EAS,China,UMC
USA,NAC,United States,HIC
IND,SAS,India,LMC
BRA,LCN,Brazil,UMC
IDN,EAS,Indonesia,LMC
RUS,ECS,Russian Federation,UMC
MEX,LCN,Mexico,UMC
DEU,ECS,Germany,HIC
JPN,EAS,Japan,HIC
FRA,ECS,France,HIC
TUR,ECS,Turkey,UMC
GBR,ECS,United Kingdom,HIC
PAK,SAS,Pakistan,LMC
ITA,ECS,Italy,HIC
NGA,SSF,Nigeria,LMC
THA,EAS,Thailand,UMC
CAN,NAC,Canada,HIC
ESP,ECS,Spain,HIC
EGY,MEA,"Egypt, Arab Rep.",LMC
KOR,EAS,"Korea, Rep.",HIC
ZAF,SSF,South Africa,UMC
ARG,LCN,Argentina,HIC
IRN,MEA,"Iran, Islamic Rep.",UMC
SAU,MEA,Saudi Arabia,HIC
UKR,ECS,Ukraine,LMC
BGD,SAS,Bangladesh,LMC
PHL,EAS,Philippines,LMC
COD,SSF,"Congo, Dem. Rep.",LIC
AUS,EAS,Australia,HIC
IRQ,MEA,Iraq,UMC
MYS,EAS,Malaysia,UMC
POL,ECS,Poland,HIC
DZA,MEA,Algeria,UMC
COL,LCN,Colombia,UMC
VEN,LCN,"Venezuela, RB",UMC
VNM,EAS,Vietnam,LMC
TZA,SSF,Tanzania,LIC
NLD,ECS,Netherlands,HIC
PER,LCN,Peru,UMC
TWN,EAS,NA,HIC
UGA,SSF,Uganda,LIC
MAR,MEA,Morocco,LMC
ETH,SSF,Ethiopia,LIC
CHL,LCN,Chile,HIC
CHE,ECS,Switzerland,HIC
HKG,EAS,"Hong Kong SAR, China",HIC
AFG,SAS,Afghanistan,LIC
ARE,MEA,United Arab Emirates,HIC
GRC,ECS,Greece,HIC
KEN,SSF,Kenya,LMC
ROU,ECS,Romania,UMC
ISR,MEA,Israel,HIC
CZE,ECS,Czech Republic,HIC
ECU,LCN,Ecuador,UMC
PRT,ECS,Portugal,HIC
AUT,ECS,Austria,HIC
DNK,ECS,Denmark,HIC
YEM,MEA,"Yemen, Rep.",LIC
BEL,ECS,Belgium,HIC
MMR,EAS,Myanmar,LMC
KAZ,ECS,Kazakhstan,UMC
SWE,ECS,Sweden,HIC
SYR,MEA,Syrian Arab Republic,LIC
CIV,SSF,Côte d’Ivoire,LMC
RWA,SSF,Rwanda,LIC
BLR,ECS,Belarus,UMC
AGO,SSF,Angola,LMC
PRI,LCN,Puerto Rico,HIC
NOR,ECS,Norway,HIC
DOM,LCN,Dominican Republic,UMC
UZB,ECS,Uzbekistan,LMC
MDA,ECS,Moldova,LMC
HUN,ECS,Hungary,HIC
MDG,SSF,Madagascar,LIC
GHA,SSF,Ghana,LMC
NZL,EAS,New Zealand,HIC
CMR,SSF,Cameroon,LMC
FIN,ECS,Finland,HIC
AZE,ECS,Azerbaijan,UMC
IRL,ECS,Ireland,HIC
MNG,EAS,Mongolia,LMC
BGR,ECS,Bulgaria,UMC
SDN,SSF,Sudan,LMC
GTM,LCN,Guatemala,UMC
TUN,MEA,Tunisia,LMC
CUB,LCN,Cuba,UMC
SSD,SSF,South Sudan,LIC
LKA,SAS,Sri Lanka,LMC
ZMB,SSF,Zambia,LMC
BFA,SSF,Burkina Faso,LIC
JOR,MEA,Jordan,UMC
MOZ,SSF,Mozambique,LIC
SEN,SSF,Senegal,LIC
SRB,ECS,Serbia,UMC
SOM,SSF,Somalia,LIC
HTI,LCN,Haiti,LIC
SVK,ECS,Slovak Republic,HIC
BOL,LCN,Bolivia,LMC
HND,LCN,Honduras,LMC
LBY,MEA,Libya,UMC
LBN,MEA,Lebanon,UMC
MLI,SSF,Mali,LIC
BDI,SSF,Burundi,LIC
SGP,EAS,Singapore,HIC
NER,SSF,Niger,LIC
PRY,LCN,Paraguay,UMC
HRV,ECS,Croatia,HIC
TJK,ECS,Tajikistan,LIC
NPL,SAS,Nepal,LIC
KWT,MEA,Kuwait,HIC
OMN,MEA,Oman,HIC
SLV,LCN,El Salvador,LMC
NIC,LCN,Nicaragua,LMC
PAN,LCN,Panama,HIC
CRI,LCN,Costa Rica,UMC
ZWE,SSF,Zimbabwe,LIC
PSE,MEA,West Bank and Gaza,LMC
TCD,SSF,Chad,LIC
LTU,ECS,Lithuania,HIC
MWI,SSF,Malawi,LIC
URY,LCN,Uruguay,HIC
BIH,ECS,Bosnia and Herzegovina,UMC
KGZ,ECS,Kyrgyz Republic,LMC
TGO,SSF,Togo,LIC
CAF,SSF,Central African Republic,LIC
KHM,EAS,Cambodia,LMC
ALB,ECS,Albania,UMC
SVN,ECS,Slovenia,HIC
JAM,LCN,Jamaica,UMC
QAT,MEA,Qatar,HIC
PNG,EAS,Papua New Guinea,LMC
BHR,MEA,Bahrain,HIC
LVA,ECS,Latvia,HIC
GEO,ECS,Georgia,LMC
CYP,ECS,Cyprus,HIC
TTO,LCN,Trinidad and Tobago,HIC
ERI,SSF,Eritrea,LIC
BEN,SSF,Benin,LIC
MKD,ECS,"Macedonia, FYR",UMC
SLE,SSF,Sierra Leone,LIC
GIN,SSF,Guinea,LIC
LBR,SSF,Liberia,LIC
TKM,ECS,Turkmenistan,UMC
ARM,ECS,Armenia,UMC
LUX,ECS,Luxembourg,HIC
EST,ECS,Estonia,HIC
MRT,SSF,Mauritania,LMC
COG,SSF,"Congo, Rep.",LMC
MUS,SSF,Mauritius,UMC
MAC,EAS,"Macao SAR, China",HIC
LAO,EAS,Lao PDR,LMC
MLT,MEA,Malta,HIC
MNE,ECS,Montenegro,UMC
XKX,ECS,Kosovo,LMC
