CountryID,CountryName,CityName,lat,lng
JPN,Japan,Tokyo,35.6897,139.6922
IDN,Indonesia,Jakarta,-6.2146,106.8451
PHL,Philippines,Manila,14.6,120.9833
KOR,Korea South,Seoul,37.56,126.99
MEX,Mexico,Mexico City,19.4333,-99.1333
CHN,China,Beijing,39.905,116.3914
EGY,Egypt,Cairo,30.0561,31.2394
RUS,Russia,Moscow,55.7558,37.6178
THA,Thailand,Bangkok,13.75,100.5167
ARG,Argentina,Buenos Aires,-34.5997,-58.3819
BGD,Bangladesh,Dhaka,23.7289,90.3944
IRN,Iran,Tehran,35.7,51.4167
COD,Congo,Kinshasa,-4.3233,15.3081
FRA,France,Paris,48.8566,2.3522
GBR,United Kingdom,London,51.5072,-0.1275
PER,Peru,Lima,-12.05,-77.0333
COL,Colombia,Bogota,4.6126,-74.0705
AGO,Angola,Luanda,-8.8383,13.2344
MYS,Malaysia,Kuala Lumpur,3.1478,101.6953
VNM,Vietnam,Hanoi,21.0245,105.8412
HKG,Hong Kong,Hong Kong,22.305,114.185
SDN,Sudan,Khartoum,15.6031,32.5265
CHL,Chile,Santiago,-33.45,-70.6667
SAU,Saudi Arabia,Riyadh,24.65,46.71
TZA,Tanzania,Dar es Salaam,-6.8,39.2833
ESP,Spain,Madrid,40.4167,-3.7167
IRQ,Iraq,Baghdad,33.35,44.4167
SGP,Singapore,Singapore,1.3,103.8
KEN,Kenya,Nairobi,-1.2864,36.8172
TUR,Turkey,Ankara,39.93,32.85
MMR,Myanmar,Rangoon,16.8,96.15
USA,United States,Washington,38.9047,-77.0163
CIV,Ivory Coast,Abidjan,5.3364,-4.0267
JOR,Jordan,Amman,31.95,35.9333
AFG,Afghanistan,Kabul,34.5328,69.1658
DEU,Germany,Berlin,52.5167,13.3833
DZA,Algeria,Algiers,36.7764,3.0586
ETH,Ethiopia,Addis Ababa,9.0272,38.7369
BRA,Brazil,Brasília,-15.7939,-47.8828
KWT,Kuwait,Kuwait City,29.375,47.98
UKR,Ukraine,Kyiv,50.45,30.5236
YEM,Yemen,Sanaa,15.35,44.2
ITA,Italy,Rome,41.8931,12.4828
BOL,Bolivia,La Paz,-16.4942,-68.1475
PRK,Korea North,Pyongyang,39.03,125.73
TWN,Taiwan,Taipei,25.0478,121.5319
MDG,Madagascar,Antananarivo,-18.9386,47.5214
DOM,Dominican Republic,Santo Domingo,18.4764,-69.8933
GTM,Guatemala,Guatemala City,14.6099,-90.5252
CMR,Cameroon,Yaoundé,3.8578,11.5181
UZB,Uzbekistan,Tashkent,41.3,69.2667
GHA,Ghana,Accra,5.6037,-0.187
AZE,Azerbaijan,Baku,40.3667,49.8352
ZWE,Zimbabwe,Harare,-17.8292,31.0522
CUB,Cuba,Havana,23.1367,-82.3589
KHM,Cambodia,Phnom Penh,11.5696,104.921
SOM,Somalia,Mogadishu,2.0408,45.3425
MLI,Mali,Bamako,12.6458,-7.9922
ECU,Ecuador,Quito,-0.2186,-78.5097
BLR,Belarus,Minsk,53.9022,27.5618
VEN,Venezuela,Caracas,10.5,-66.9333
AUT,Austria,Vienna,48.2083,16.3731
ROU,Romania,Bucharest,44.4,26.0833
PRY,Paraguay,Asunción,-25.3,-57.6333
COG,Congo (Brazzaville),Brazzaville,-4.2667,15.2833
