CountryID,Year,Population
ABW,2021,109271
ABW,2022,110331
ABW,2023,111392
ABW,2024,112452
ABW,2025,113513
ABW,2026,114573
ABW,2027,115633
ABW,2028,116694
ABW,2029,117754
ABW,2030,118815
AFG,2021,33298046
AFG,2022,33777976
AFG,2023,34257907
AFG,2024,34737838
AFG,2025,35217768
AFG,2026,35697699
AFG,2027,36177629
AFG,2028,36657560
AFG,2029,37137491
AFG,2030,37617421
AGO,2021,27703838
AGO,2022,28147348
AGO,2023,28590858
AGO,2024,29034368
AGO,2025,29477879
AGO,2026,29921389
AGO,2027,30364899
AGO,2028,30808409
AGO,2029,31251919
AGO,2030,31695429
ALB,2021,3337913
ALB,2022,3357434
ALB,2023,3376956
ALB,2024,3396478
ALB,2025,3415999
ALB,2026,3435521
ALB,2027,3455043
ALB,2028,3474564
ALB,2029,3494086
ALB,2030,3513608
AND,2021,92396
AND,2022,93701
AND,2023,95007
AND,2024,96312
AND,2025,97618
AND,2026,98923
AND,2027,100229
AND,2028,101534
AND,2029,102840
AND,2030,104145
ARE,2021,8482222
ARE,2022,8655951
ARE,2023,8829679
ARE,2024,9003408
ARE,2025,9177137
ARE,2026,9350866
ARE,2027,9524595
ARE,2028,9698324
ARE,2029,9872053
ARE,2030,10045782
ARG,2021,45650904
ARG,2022,46075217
ARG,2023,46499531
ARG,2024,46923844
ARG,2025,47348158
ARG,2026,47772471
ARG,2027,48196785
ARG,2028,48621098
ARG,2029,49045412
ARG,2030,49469726
ARM,2021,3267984
ARM,2022,3278529
ARM,2023,3289074
ARM,2024,3299619
ARM,2025,3310164
ARM,2026,3320709
ARM,2027,3331254
ARM,2028,3341799
ARM,2029,3352344
ARM,2030,3362889
ASM,2021,66192
ASM,2022,66926
ASM,2023,67660
ASM,2024,68394
ASM,2025,69128
ASM,2026,69862
ASM,2027,70596
ASM,2028,71330
ASM,2029,72064
ASM,2030,72798
ATG,2021,92177
ATG,2022,92858
ATG,2023,93539
ATG,2024,94220
ATG,2025,94900
ATG,2026,95581
ATG,2027,96262
ATG,2028,96942
